FOODID;SPECDIET
351;LACOVEGE
351;CHOLFREE
351;LACSFREE
351;FATFREE
351;LACVEGE
351;VEGAN
351;EGGFREE
351;LOWPROT
351;NAGLUFRE
351;SOYAFREE
352;GLUTFREE
352;MILKFREE
352;LACOVEGE
352;CHOLFREE
352;LACSFREE
352;LACVEGE
352;VEGAN
352;EGGFREE
352;LOWPROT
352;NAGLUFRE
352;SALTFREE
352;SOYAFREE
352;UNSWEET
353;GLUTFREE
353;MILKFREE
353;LACOVEGE
353;LACSFREE
353;LACVEGE
353;VEGAN
353;EGGFREE
353;NAGLUFRE
353;SOYAFREE
353;HIGHSALT
354;GLUTFREE
354;MILKFREE
354;LACOVEGE
354;LACSFREE
354;LACVEGE
354;VEGAN
354;EGGFREE
354;SOYAFREE
354;UNSWEET
354;NAGLUFRE
355;GLUTFREE
355;MILKFREE
355;LACOVEGE
355;CHOLFREE
355;LACSFREE
355;LACVEGE
355;VEGAN
355;EGGFREE
355;LOWPROT
355;NAGLUFRE
355;SALTFREE
355;SOYAFREE
355;UNSWEET
356;GLUTFREE
356;MILKFREE
356;LACOVEGE
356;CHOLFREE
356;LACSFREE
356;LACVEGE
356;VEGAN
356;EGGFREE
356;NAGLUFRE
356;SALTFREE
356;SOYAFREE
356;UNSWEET
358;GLUTFREE
358;MILKFREE
358;LACOVEGE
358;CHOLFREE
358;LACSFREE
358;LACVEGE
358;VEGAN
358;EGGFREE
358;LOWPROT
358;NAGLUFRE
358;SALTFREE
358;SOYAFREE
358;UNSWEET
359;GLUTFREE
359;MILKFREE
359;LACOVEGE
359;CHOLFREE
359;LACSFREE
359;LACVEGE
359;VEGAN
359;EGGFREE
359;LOWPROT
359;NAGLUFRE
359;SALTFREE
359;SOYAFREE
359;UNSWEET
360;GLUTFREE
360;MILKFREE
360;LACOVEGE
360;CHOLFREE
360;LACSFREE
360;LACVEGE
360;VEGAN
360;EGGFREE
360;LOWPROT
360;NAGLUFRE
360;SALTFREE
360;SOYAFREE
360;UNSWEET
362;GLUTFREE
362;MILKFREE
362;LACOVEGE
362;CHOLFREE
362;LACSFREE
362;LACVEGE
362;VEGAN
362;EGGFREE
362;LOWPROT
362;NAGLUFRE
362;SALTFREE
362;SOYAFREE
362;UNSWEET
363;GLUTFREE
363;MILKFREE
363;LACOVEGE
363;CHOLFREE
363;LACSFREE
363;LACVEGE
363;VEGAN
363;EGGFREE
363;LOWPROT
363;NAGLUFRE
363;SALTFREE
363;SOYAFREE
363;UNSWEET
364;GLUTFREE
364;MILKFREE
364;LACOVEGE
364;CHOLFREE
364;LACSFREE
364;LACVEGE
364;VEGAN
364;EGGFREE
364;LOWPROT
364;NAGLUFRE
364;SALTFREE
364;SOYAFREE
364;UNSWEET
367;GLUTFREE
367;MILKFREE
367;LACOVEGE
367;CHOLFREE
367;LACSFREE
367;LACVEGE
367;VEGAN
367;EGGFREE
367;NAGLUFRE
367;SALTFREE
367;UNSWEET
368;GLUTFREE
368;MILKFREE
368;LACOVEGE
368;CHOLFREE
368;LACSFREE
368;FATFREE
368;LACVEGE
368;VEGAN
368;EGGFREE
368;NAGLUFRE
368;SALTFREE
368;UNSWEET
369;GLUTFREE
369;MILKFREE
369;LACOVEGE
369;CHOLFREE
369;LACSFREE
369;LACVEGE
369;VEGAN
369;EGGFREE
369;NAGLUFRE
369;SALTFREE
369;SOYAFREE
369;UNSWEET
369;LOWPROT
370;GLUTFREE
370;MILKFREE
370;LACOVEGE
370;CHOLFREE
370;LACSFREE
370;LACVEGE
370;VEGAN
